question,answer,topic
How does the AIIMS pharmacovigilance programme work?,"AIIMS participates in the national pharmacovigilance programme where adverse drug reactions are collected, assessed, and reported to the Central Drugs Standard Control Organisation to improve drug safety.",side_effects
What should I do if my medicine is out of stock nationally and cannot be sourced anywhere?,"Inform your AIIMS treating doctor immediately who can assess therapeutic alternatives, apply for a special import licence if needed, or enrol you in a compassionate use programme.",general_queries
What does it mean when a prescription says apply topically?,Apply topically means to place the medicine directly on the skin or affected surface and not to swallow it; follow the prescribed quantity and area of application.,prescription
What is Rashtriya Arogya Nidhi and how can AIIMS patients access it?,Rashtriya Arogya Nidhi provides one-time financial assistance to BPL patients for serious diseases including cancer and rare conditions at AIIMS; the hospital social worker assists with applications.,medicine_costs
What is the Indian pharmacopoeia and why does it matter?,The Indian Pharmacopoeia sets quality standards for medicines manufactured and sold in India and AIIMS procures medicines that comply with these official standards.,prescription
What is a stat dose on a prescription?,"Stat means immediately; a stat dose is a single one-time dose given at once, often in hospital for urgent situations, separate from any ongoing scheduled doses.",prescription
How does the cost of medicines at AIIMS compare to a private pharmacy?,"Medicines at AIIMS are procured centrally by the government at bulk rates and dispensed at significantly lower prices than most private pharmacies, making treatment affordable for low-income patients.",medicine_costs
Are OTC cold and flu combination products safe for diabetic patients?,Many cold and flu products contain sugary syrups or decongestants that raise blood sugar; diabetic patients should choose sugar-free formulations and avoid pseudoephedrine-containing products.,otc_medicines
What should I do before starting any new medicine if I have liver disease?,Inform the prescribing doctor and pharmacist of your liver disease as many medicines require dose reduction or are contraindicated in hepatic impairment and regular monitoring may be needed.,general_queries
How much does a course of antifungal treatment for systemic infection cost at AIIMS?,Oral fluconazole courses at AIIMS cost between ten and thirty rupees for most indications while longer courses of generic itraconazole remain affordable at government-subsidised rates.,medicine_costs
What is the National List of Essential Medicines and how does it affect AIIMS dispensing?,The National List of Essential Medicines prioritises medicines with the best evidence for public health needs; AIIMS formulary and free drug programmes are based on this list.,medicine_costs
What is the safest OTC pain reliever for someone with kidney disease?,Paracetamol at standard doses is the safest OTC pain reliever for patients with mild kidney disease; NSAIDs like ibuprofen should be avoided as they can worsen kidney function.,otc_medicines
Can I take any of my regular medicines during Ramadan or other religious fasting periods?,Some medicines can be taken during permitted eating windows with minor timing adjustments; discuss your full medication list with the AIIMS pharmacist or doctor well in advance of the fasting period.,general_queries
Can thyroid medicines cause palpitations if the dose is too high?,"Excess levothyroxine causes symptoms of hyperthyroidism including rapid or irregular heartbeat, tremor, heat intolerance, and anxiety; the dose should be reviewed with a blood test.",side_effects
What are the common side effects of methotrexate used for autoimmune conditions?,"Methotrexate can cause nausea, mouth sores, liver toxicity, bone marrow suppression, and lung problems; regular blood monitoring is essential during long-term use.",side_effects
Can I travel with temperature-sensitive medicines on a plane?,"Carry temperature-sensitive medicines in an insulated bag in hand luggage, obtain a letter from the AIIMS doctor confirming the clinical need, and declare them at security if they include needles.",general_queries
What side effects can vaccines cause and how are they managed?,"Common vaccine side effects include soreness at the injection site, mild fever, and fatigue lasting one to two days; paracetamol and rest help and these effects confirm the immune system is responding.",side_effects
Can I take medicine prescribed for one condition for a different problem?,Never use a medicine for a condition other than the one it was prescribed for without consulting a doctor; medications are prescribed for specific indications and doses and using them differently can be harmful.,general_queries
Can I buy eye drops for redness without a prescription?,Plain lubricating or saline eye drops are available OTC for dry eyes and mild irritation; eye drops containing steroids or antibiotics require a prescription and must not be self-medicated.,otc_medicines
What does the term titrate to effect mean on a prescription?,"Titrate to effect means the dose should be gradually adjusted upward until the desired clinical response is achieved, as guided by the prescribing doctor during follow-up.",prescription
Can I take ibuprofen without a prescription for pain relief?,"Ibuprofen is available over the counter for adults at 200 to 400mg every six to eight hours with food, but should be avoided in kidney disease, peptic ulcer, and during pregnancy.",otc_medicines
Can I request a medication use review at the AIIMS pharmacy?,"A medication use review is a structured consultation with the AIIMS clinical pharmacist to check your understanding of your medicines, identify any problems, and optimise your regimen.",general_queries
How do I report a counterfeit or substandard medicine I purchased in Delhi?,"Report counterfeit medicines to the Delhi State Drug Controller at 011-23890107, the Central Drugs Standard Control Organisation helpline, or through the national pharmacovigilance programme.",general_queries
What OTC medication is available for motion sickness in India?,Dimenhydrinate and promethazine tablets for motion sickness are available OTC and should be taken thirty to sixty minutes before travel; they cause drowsiness and should not be taken while driving.,otc_medicines
Can I travel abroad with my AIIMS prescription medicines?,"Carry medicines in original labelled packaging, bring a copy of the prescription with a letter from your doctor, and check the destination country's rules on importing medicines especially for controlled drugs.",prescription
Can I take my AIIMS prescription medicine before a blood test?,Some medicines including metformin and iron supplements can affect blood test results; ask the AIIMS doctor or phlebotomist whether any medicines should be withheld before the specific tests requested.,general_queries
What is a homeopathic medicine and is it available OTC in India?,Homeopathic preparations are widely available OTC in India and are regulated by the Ministry of AYUSH; evidence for their efficacy beyond placebo is limited for most conditions.,otc_medicines
Are diagnostic test costs and medicine costs combined on one AIIMS bill?,AIIMS issues separate billing for investigations and medicines; the cashier can provide an itemised breakdown showing each cost component separately.,medicine_costs
Can I stop taking a prescribed antibiotic once I feel better?,"No, antibiotics must be completed as prescribed even if symptoms improve; stopping early can allow resistant bacteria to survive and cause a harder-to-treat relapse.",prescription
What are the side effects of immunosuppressive medicines after organ transplant?,"Immunosuppressants like tacrolimus and cyclosporine can cause kidney toxicity, high blood pressure, high blood sugar, tremor, and increased susceptibility to infections and certain cancers.",side_effects
Can I take my AIIMS prescription to a Jan Aushadhi store?,"Pradhan Mantri Bharatiya Jan Aushadhi Kendras stock a wide range of generic medicines and can dispense against a valid prescription, often at significantly lower prices.",prescription
Is it safe to take vitamin D supplements without a doctor's advice?,Vitamin D supplements up to 2000 IU daily are generally safe without prescription but higher doses should only be taken under medical supervision to avoid toxicity.,otc_medicines
Can diuretics used for heart failure cause side effects?,"Loop diuretics like furosemide can cause low potassium, dehydration, dizziness, and elevated uric acid; regular blood tests monitor for these effects during long-term use.",side_effects
What is a drug interaction and how can I avoid harmful ones?,"A drug interaction occurs when one medicine changes the effect of another; inform every doctor and pharmacist of all medicines, supplements, and herbal preparations you are taking to allow screening.",general_queries
What are common side effects of proton pump inhibitors used long-term?,"Long-term PPI use can reduce magnesium and B12 absorption, increase risk of Clostridioides difficile infection, and may reduce calcium absorption affecting bone density over years.",side_effects
Can I take melatonin for sleep without a prescription in India?,Melatonin is not classified as OTC in India and requires a prescription; discuss sleep difficulties with a doctor who can advise on appropriate short-term management.,otc_medicines
How much does a standard course of antibiotics cost at a private pharmacy versus AIIMS?,A branded antibiotic course at a private pharmacy may cost two hundred to five hundred rupees while the same generic at AIIMS costs ten to fifty rupees under government procurement.,medicine_costs
What is a drug recall and what should I do if my medicine is recalled?,"A drug recall is a removal of a medicine from the market due to safety or quality concerns; check CDSCO alerts, stop using the recalled batch, and return it to the pharmacy for a replacement.",general_queries
Can I take medicines prescribed to me before an AIIMS operation on the day of surgery?,Some medicines should be continued on the morning of surgery and others stopped; always confirm with your AIIMS surgeon and anaesthetist which medicines to take and which to withhold.,general_queries
How do I know if a medicine I am taking can be safely crushed for a patient who cannot swallow?,"Ask the AIIMS pharmacist before crushing any tablet as modified-release, enteric-coated, and some other formulations must never be crushed; liquid alternatives can often be arranged.",general_queries
What should I do if I experience a severe allergic reaction to a medicine?,"Call 108 immediately, use an EpiPen if available, go to AIIMS casualty at 011-26589142, and provide the exact medicine name and dose to the emergency team.",side_effects
How do I know if I am experiencing a side effect from my medicine?,A side effect is any unwanted symptom that develops after starting a new medicine; compare your symptoms with the information leaflet and report to the AIIMS pharmacist or doctor.,side_effects
What is an inhaler technique check and can I get one at AIIMS?,An inhaler technique check involves a pharmacist or nurse observing how you use your inhaler and correcting any errors; this service is available through the AIIMS respiratory clinic.,general_queries
What are the skin-related side effects of antibiotics?,"Antibiotics commonly cause maculopapular rash; more serious reactions include urticaria, Stevens-Johnson syndrome, and drug hypersensitivity syndrome which require immediate medical attention.",side_effects
What is drug-induced hyponatraemia and which medicines cause it?,"Low sodium caused by medicines is most commonly seen with diuretics, SSRIs, and carbamazepine; symptoms include confusion, headache, and in severe cases seizures requiring urgent medical assessment.",side_effects
What does it mean when a medicine has a warning about driving?,"Medicines that impair concentration, cause drowsiness, or affect vision should not be taken before driving; this warning applies to antihistamines, opioids, benzodiazepines, and some anticonvulsants.",general_queries
Can medicines cause ringing in the ears as a side effect?,"Tinnitus or ringing in the ears can be caused by high-dose aspirin, aminoglycoside antibiotics, loop diuretics, and quinine; report any new hearing symptoms to your doctor promptly.",side_effects
Does AIIMS provide free immunosuppressant medicines for transplant patients?,Post-transplant immunosuppressants are provided at subsidised rates at AIIMS; for patients who cannot afford them the social work team and government schemes can assist with costs.,medicine_costs
Is paracetamol safe for adults to take without a doctor's advice?,Paracetamol is safe for most adults at the standard dose of 500mg to 1g every four to six hours up to a maximum of four grams per day but should not be used with alcohol or in liver disease.,otc_medicines
What is a withdrawal effect and how is it different from a side effect?,"A withdrawal effect occurs when a medicine is stopped abruptly after regular use and causes rebound symptoms, while a side effect occurs during use; never stop medicines like corticosteroids, SSRIs, or antiepileptics suddenly.",side_effects
What are combination tablets and are they as effective as taking each medicine separately?,Combination tablets contain two or more active ingredients in a fixed ratio and are clinically equivalent to the separate drugs while improving convenience and adherence.,prescription
Can I keep medicine in a car during the Delhi summer?,"Never store medicines in a car in summer as temperatures inside parked vehicles can exceed sixty degrees Celsius, rapidly degrading most medicines including tablets, capsules, and liquids.",general_queries
What are the common side effects of medicines used for osteoporosis?,"Bisphosphonates can cause oesophageal irritation if not taken correctly with a full glass of water while standing, and rarely cause jaw osteonecrosis or atypical femur fracture with very long-term use.",side_effects
What OTC options are available for managing mild insect bite reactions?,Antihistamine creams or oral antihistamines reduce itching and swelling from mild insect bites; calamine lotion is also soothing and safe OTC; seek medical care for bites showing signs of infection.,otc_medicines
What are the common side effects of injectable insulin?,"Insulin injection sites can develop lipohypertrophy if the same spot is used repeatedly; systemic effects include hypoglycaemia, weight gain, and occasional local redness or swelling.",side_effects
What is a medicine information leaflet and am I entitled to one?,Every licensed medicine must include a patient information leaflet inside the packaging; if one is missing ask the AIIMS pharmacist for a printed copy or explanation of the key points.,general_queries
What does it mean when a prescription says take with food?,Taking a medicine with food reduces stomach irritation for drugs like NSAIDs and metformin and also improves absorption for fat-soluble medicines; follow this instruction consistently.,prescription
How does AIIMS handle prescriptions for patients who cannot read?,The AIIMS pharmacist provides verbal counselling and may use pictorial label aids or a family interpreter to ensure patients who cannot read understand their dosing instructions.,prescription
Can diet affect how my medicine works?,"High-fibre diets can reduce absorption of some medicines, high-protein foods can reduce levodopa effectiveness, and high-vitamin K foods affect warfarin; always ask your pharmacist about food interactions.",general_queries
How much does a month's supply of metformin for diabetes cost at AIIMS?,Metformin is one of the most affordable diabetes medicines and typically costs between five and fifteen rupees for a monthly supply at the AIIMS pharmacy.,medicine_costs
What is a controlled substance prescription and how is it handled at AIIMS?,"Controlled substances such as opioids and benzodiazepines require a special prescription format, are dispensed in limited quantities, and are tracked to prevent misuse.",prescription
What does it mean when a prescription says PRN?,PRN is from the Latin pro re nata meaning as needed; it indicates the medicine should only be taken when required such as for pain or nausea rather than on a fixed schedule.,general_queries
Can fluoroquinolone antibiotics cause tendon problems?,Fluoroquinolones like ciprofloxacin and levofloxacin carry a risk of tendon inflammation and rupture especially in older patients and those on corticosteroids; stop the medicine and see a doctor if tendon pain develops.,side_effects
Can I use OTC hydrating IV sachets at home?,Oral rehydration sachets are the recommended home hydration treatment and IV fluids are never for home use; if oral intake is impossible go to AIIMS casualty for intravenous hydration.,otc_medicines
What is the difference between a side effect and an allergic reaction to a medicine?,"A side effect is a predictable pharmacological effect at normal doses while an allergic reaction involves the immune system and can be unpredictable, ranging from rash to life-threatening anaphylaxis.",side_effects
What is the maximum quantity of a medicine I can receive in one dispensing at AIIMS pharmacy?,"The dispensed quantity follows the prescription and institutional guidelines, usually covering a few days to one month for acute medicines and up to three months for stable chronic conditions.",prescription
Can a patient buy medicine in bulk from AIIMS to reduce the cost per unit?,AIIMS pharmacy dispenses according to the prescription duration and institutional guidelines; bulk purchase beyond prescription requirements is generally not permitted.,medicine_costs
What is a spacer device and how does it help with inhaler use?,A spacer is a chamber attached to a metered-dose inhaler that holds the medicine cloud so it can be inhaled slowly without needing perfect coordination between pressing and breathing.,general_queries
Can antihistamines cause difficulty urinating as a side effect?,Older sedating antihistamines with anticholinergic properties can cause urinary retention especially in older men with prostate problems; non-sedating types are safer in this group.,side_effects
Can children take aspirin-containing OTC medicines?,Aspirin must not be given to children under sixteen due to the risk of Reye's syndrome; paracetamol or ibuprofen are the appropriate OTC pain and fever relievers for children.,otc_medicines
What is a computerised prescription and how does AIIMS generate one?,"AIIMS uses a hospital information system to generate electronic prescriptions that are printed with the patient's details, medicines, doses, and doctor's digital signature to reduce handwriting errors.",prescription
Can statins cause muscle pain as a side effect?,Statins can cause muscle aches and in rare cases a serious condition called rhabdomyolysis; report any unexplained muscle pain or weakness to your doctor promptly.,side_effects
Can I buy the same medicine prescribed at AIIMS from a Jan Aushadhi store?,"Yes, Jan Aushadhi stores stock most medicines prescribed at AIIMS under their generic names at significantly lower prices with the same quality standards as hospital-dispensed drugs.",medicine_costs
Can I take herbal medicines alongside my AIIMS-prescribed medicines?,Herbal medicines can interact with prescription drugs; St John's Wort reduces the effectiveness of many medicines and Ayurvedic preparations may contain heavy metals; always inform your doctor.,general_queries
Can I take an OTC decongestant if I have high blood pressure?,Pseudoephedrine and phenylephrine decongestants can raise blood pressure and should be avoided by hypertensive patients; saline nasal rinses are a safer OTC alternative.,otc_medicines
What is the approximate cost of a full course of anti-TB treatment?,Under the government's free drug programme the full course of standard tuberculosis treatment is provided at no cost to the patient at AIIMS and government health facilities.,medicine_costs
How does the AIIMS pharmacy ensure medicines are stored correctly before dispensing?,"AIIMS pharmacy maintains monitored cold rooms for refrigerated medicines, ambient temperature-controlled dispensing areas, and regular stock rotation to ensure medicines are within expiry at the time of dispensing.",general_queries
What is a medicine safety data sheet and when would I need one?,A medicine safety data sheet provides detailed information on a substance's hazards and safe handling; it is primarily used in pharmaceutical manufacturing and occupational health rather than clinical dispensing.,general_queries
Can I bring medicines from abroad for personal use into India?,Travellers may bring a reasonable quantity of personal medicines into India with a valid prescription or doctor's letter; controlled substances require prior permission from the Narcotics Control Bureau.,general_queries
What is an intravenous medicine and how is it different from an oral tablet?,An intravenous medicine is given directly into a vein through a drip and acts faster than oral tablets; it is always administered by trained clinical staff in a medical setting.,prescription
What is a biosimilar medicine?,A biosimilar is a biological medicine that is highly similar to an already approved biological reference product and is generally used interchangeably with the original under medical supervision.,prescription
What OTC options are available for mild haemorrhoid symptoms?,Topical creams containing local anaesthetic or anti-inflammatory agents for mild haemorrhoid relief are available OTC; persistent or bleeding haemorrhoids require medical assessment.,otc_medicines
Why are some medicines available only as injections and not tablets?,Some medicines are broken down by the digestive system before they can be absorbed and must be injected to work; others need very rapid action or very precise blood levels only achievable by injection.,general_queries
Can I take B12 supplements without a prescription?,Vitamin B12 supplements are available OTC and are safe for most people; vegetarians and the elderly are at higher risk of deficiency and may benefit but should confirm with a blood test.,otc_medicines
What should I do if the AIIMS pharmacy does not have my prescribed medicine in stock?,"Ask the pharmacist to issue a shortage slip so you can source it from a licensed outside pharmacy, and inform your treating doctor who may suggest an available alternative.",prescription
Can I request a medicine reminder service to help me remember doses?,"Many pharmacy apps, AIIMS patient portal reminders, and simple pill organisers can help patients remember doses; the pharmacist can advise on the best system for your specific regimen.",general_queries
What are the ocular side effects of hydroxychloroquine?,Long-term hydroxychloroquine used for lupus and rheumatoid arthritis can cause maculopathy leading to irreversible vision loss; annual ophthalmological screening is mandatory for all patients on this drug.,side_effects
What is the difference between immediate release and extended release tablets?,Immediate release tablets release the full dose quickly while extended release tablets release medicine gradually over hours; extended release tablets must never be crushed as this releases the full dose at once.,general_queries
Can I take OTC sleeping tablets regularly without a prescription?,OTC sedating antihistamines used as sleep aids are not intended for regular use and can cause tolerance; discuss persistent sleep problems with a doctor for appropriate diagnosis and treatment.,otc_medicines
Can I collect a prescription on behalf of a patient who cannot come to the pharmacy?,A family member or authorised representative may collect medicines by presenting the original prescription and the patient's hospital ID along with their own identification.,prescription
What medicines commonly cause drowsiness as a side effect?,"Antihistamines, benzodiazepines, antiepileptics, opioid pain relievers, and some antidepressants commonly cause drowsiness; do not drive or operate machinery when taking these.",side_effects
What is the Ayushman Bharat scheme and does it cover medicine costs?,Ayushman Bharat PM-JAY covers inpatient treatment costs including medicines for eligible beneficiaries; AIIMS is empanelled for this scheme and the hospital helpdesk can assist with claims.,medicine_costs
What is a generic medicine and how does it differ from a branded drug?,A generic medicine contains the same active ingredient at the same dose as a branded drug but is sold under its chemical name and is usually significantly cheaper.,prescription
Can antidepressants cause weight gain?,Some antidepressants especially mirtazapine and tricyclics are associated with weight gain while others like fluoxetine may cause initial weight loss; discuss concerns with your psychiatrist.,side_effects
What OTC preparation helps with mild constipation in adults?,"Ispaghula husk sachets, lactulose solution, and glycerol suppositories are safe OTC options for occasional constipation in adults; increase fluid and fibre intake alongside any laxative.",otc_medicines
How should I read and understand the patient information leaflet inside my medicine box?,"Read the indications, correct dose, contraindications, side effects, storage instructions, and manufacturer contact; ask the AIIMS pharmacist to explain any terms you do not understand.",general_queries
Can I buy medicines at a discount from unlicensed online sources?,"Never buy medicines from unlicensed sources as they may be counterfeit, substandard, or contain harmful substitutes; only use licensed pharmacies with a valid drug retailer licence.",general_queries
What OTC antidiarrhoeal medicines are available in India?,Loperamide tablets are available OTC for adults with non-infectious diarrhoea; ORS is the first-line treatment for dehydration and antibiotics for bacterial causes require a prescription.,otc_medicines
Can I request my AIIMS prescription to be written in English if the original is in Hindi?,Prescriptions at AIIMS are typically written in English using standard medical abbreviations; ask the treating doctor to clarify any notation you cannot read before leaving the clinic.,prescription
Can anticoagulants like heparin cause a low platelet count?,Heparin-induced thrombocytopenia is a serious immune-mediated reaction causing low platelets and paradoxically increased clotting; platelet counts are monitored during heparin therapy.,side_effects
How do I take a medicine that says take twice daily â morning and night or twelve hours apart?,Twice daily ideally means every twelve hours for most medicines; morning and night is acceptable for most but for antibiotics and antivirals maintaining equal spacing maximises effectiveness.,general_queries
What financial help is available for patients needing expensive HIV second-line treatment?,Second-line antiretrovirals are covered under the NACO free ART programme and AIIMS facilitates access to all lines of HIV treatment at no cost for registered patients.,medicine_costs
What is a narrow therapeutic index drug and why does it require careful dosing?,A narrow therapeutic index drug like warfarin or digoxin has a small difference between effective and toxic doses so slight over or under dosing can cause serious harm.,prescription
What is the correct technique for giving nasal drops to an infant or toddler?,"Swaddle the infant, tilt the head back gently over your lap, instil the prescribed number of drops into each nostril, and keep the head tilted back for sixty seconds to allow the drops to reach the nasal passages.",general_queries
What should I do if a child accidentally takes an adult dose of a prescribed medicine?,"Call the AIIMS Poison Centre at 011-26589391 or 108 immediately, note the medicine name, dose, and time, and go to AIIMS casualty without delay.",prescription
Can a pharmacist prescribe medicines independently in India?,Indian pharmacists are not currently authorised to prescribe independently; prescribing is restricted to registered medical practitioners though pharmacist prescribing rights are under policy discussion.,general_queries
Are expensive biologic medicines available at AIIMS at reduced cost?,"AIIMS participates in government biosimilar procurement and some biologics for rheumatoid arthritis, cancer, and inflammatory bowel disease are available at reduced rates compared to branded originals.",medicine_costs
Can medicines cause abnormal liver function test results without symptoms?,"Many medicines including statins, anti-TB drugs, and paracetamol in excess can raise liver enzymes without causing symptoms; this is why baseline and periodic liver function tests are part of monitoring.",side_effects
Can I refill a prescription at AIIMS without seeing the doctor if I have not missed any appointments?,Prescription refills at AIIMS require a current prescription from the treating doctor; for stable long-term patients a brief review appointment can often be scheduled alongside the refill.,prescription
How do I know if a medicine I bought at a pharmacy is genuine and not counterfeit?,"Buy medicines only from licensed pharmacies with a visible drug licence, check the packaging for holograms, batch numbers, and manufacturer details, and report suspicious medicines to the drug controller.",general_queries
What are the common side effects of chemotherapy drugs?,"Common chemotherapy side effects include nausea, vomiting, hair loss, fatigue, mouth sores, increased infection risk, and peripheral neuropathy; effects vary by drug and protocol.",side_effects
What is the approximate monthly cost of diabetes management medicines at AIIMS?,"A standard diabetes regimen using metformin, glipizide, and aspirin at AIIMS may cost as little as twenty to sixty rupees per month for a patient paying subsidised rates.",medicine_costs
Are orphan medicines for rare diseases subsidised in any way at AIIMS?,The Indian government's rare disease policy provides financial assistance for select rare disease medicines and AIIMS facilitates access through the Rashtriya Arogya Nidhi and disease-specific grants.,medicine_costs
What are the side effects of long-term painkiller use?,"Long-term NSAID use can cause stomach ulcers, kidney damage, and cardiovascular risk; opioid pain relievers cause constipation, dependence, and tolerance requiring dose escalation over time.",side_effects
Can I take OTC antacids while on a prescribed proton pump inhibitor?,Using OTC antacids alongside a prescribed proton pump inhibitor is generally safe for breakthrough symptoms but discuss with your doctor if you need both regularly as the underlying cause should be investigated.,otc_medicines
Can I get a cost estimate for my entire treatment including medicines before starting at AIIMS?,The AIIMS billing office and the social work team can provide an estimated cost breakdown for planned treatment and medicines and can identify applicable government scheme benefits.,medicine_costs
Are medicines dispensed at the AIIMS pharmacy free of charge for all patients?,AIIMS provides free medicines to BPL cardholders and economically weaker section patients; other patients pay at nominal government-subsidised rates well below market prices.,medicine_costs
What is a therapeutic drug monitoring test and when is it prescribed?,Therapeutic drug monitoring measures the concentration of a medicine in the blood to confirm it is within the effective range; it is used for narrow therapeutic index drugs like phenytoin and vancomycin.,prescription
What is a loading dose and why is it sometimes prescribed?,A loading dose is a higher initial dose given to rapidly reach therapeutic levels in the blood before continuing with the standard maintenance dose thereafter.,prescription
What is meant by the therapeutic window of a medicine?,The therapeutic window is the range of concentrations in the blood that is effective without causing toxicity; monitoring is critical for drugs with a narrow window such as vancomycin and digoxin.,general_queries
