question,answer,topic
What is the Snehi helpline and when should I use it?,"Snehi is a Delhi-based mental health helpline reachable at 044-24640050 offering support for emotional distress, grief, and depression for callers in North India.",mental_health_emergency
What is the AIIMS allergy and immunology emergency number?,Severe allergic reactions at AIIMS are managed through the casualty at 011-26589142 and the immunology team is alerted for anaphylaxis cases requiring specialist input.,calling_emergency
What is the AIIMS ICU contact for families of critically ill patients?,Families of ICU patients can contact AIIMS through the main operator at 011-26588500 and ask to be connected to the specific ICU nursing station.,calling_emergency
How do I treat a diabetic who has low blood sugar?,"If conscious, give the person sugar in any form such as glucose tablets, a sweet drink, or candy, wait fifteen minutes, and call 108 if they do not improve or become unconscious.",basic_first_aid
What is the AIIMS blood bank emergency contact?,The AIIMS blood bank can be reached at 011-26588663 for urgent blood requirements at any hour of the day.,calling_emergency
What should I do if someone collapses and is unresponsive?,"Shout for help, check for breathing by tilting the head back and looking for chest rise, call 112 immediately, and begin CPR if the person is not breathing normally.",basic_first_aid
What is the India Meteorological Department emergency alert contact?,"The India Meteorological Department can be reached at 011-24631913 and issues public weather warnings; follow Delhi government advisories during cyclone, storm, or flood alerts.",disaster_evacuation
What is KIRAN and how can it help during a mental health crisis?,KIRAN is the national free mental health helpline launched by the Government of India and operates twenty-four hours a day at 1800-599-0019 in multiple regional languages.,mental_health_emergency
How do I treat a suspected appendicitis?,"Do not give food, water, or pain medication, ask the person to lie in a comfortable position, call 108 or go directly to AIIMS casualty as appendicitis requires urgent surgical assessment.",basic_first_aid
What should I do after an earthquake when outside?,"Move away from buildings, power lines, and trees, do not re-enter structures until cleared as safe, call 112 if injured, and monitor official government advisories on the radio.",disaster_evacuation
What should I do if someone is missing after a road accident in Delhi?,"Report to the nearest police station, call 100, contact the Delhi Police missing persons cell at 011-23490360, and check with nearby hospitals including AIIMS casualty at 011-26589142.",calling_emergency
How do hospitals in Delhi coordinate blood supply during a mass casualty event?,AIIMS blood bank at 011-26588663 coordinates with Delhi Blood Bank Authority and voluntary donor networks to mobilise emergency blood supply during mass casualty incidents.,disaster_evacuation
What is the AIIMS campus emergency assembly location?,"AIIMS has designated assembly points outside each building indicated by green signs and security staff are trained to direct all patients, staff, and visitors to the nearest assembly zone during evacuation.",disaster_evacuation
How does the AIIMS burns unit handle a patient with severe burns on arrival?,"Severe burn patients at AIIMS are received at the casualty, assessed for airway involvement, fluid resuscitation is begun immediately, and the burns and plastic surgery team is called for urgent review.",calling_emergency
How do I perform emergency vehicle bypass on a Delhi road?,"Pull to the left side of the road and stop when you hear or see an emergency vehicle approaching from any direction, do not block intersections, and only resume driving when the vehicle has passed.",disaster_evacuation
How do I treat a partial amputation of a finger?,"Control bleeding with direct pressure, keep the partially detached part moist with saline, do not try to remove it, wrap in clean damp gauze, and go to AIIMS casualty immediately.",basic_first_aid
What is the AIIMS rheumatology emergency for joint inflammation?,Acute severe joint inflammation such as septic arthritis requires urgent assessment at AIIMS casualty at 011-26589142 as delayed treatment can cause permanent joint damage.,calling_emergency
How do I apply a bandage correctly to a wound?,"Place a sterile pad over the wound, wrap the bandage firmly but not so tightly as to cut off circulation, tie off above the wound, and check that fingers or toes beyond the bandage remain warm and pink.",basic_first_aid
In which situations should I call the police emergency line 100 rather than 112?,"Call 100 directly for crimes in progress, domestic violence, road accidents needing police documentation, or when you specifically need police presence without requiring ambulance or fire services.",calling_emergency
What first aid should I give someone suspected of having a stroke?,"Call 112 immediately, note the exact time symptoms started, keep the person calm and still, do not give food, water, or medication, and reassure them until help arrives.",basic_first_aid
How do I help a person in crisis who refuses to speak to a professional?,"Do not force engagement, remain present, validate their feelings, offer a small step such as calling a helpline anonymously at KIRAN 1800-599-0019, and stay with them without judgement.",mental_health_emergency
What medication should never be given to someone in a psychiatric crisis without medical advice?,"Never give any sedative, sleeping tablet, alcohol, or unprescribed medication to someone in a psychiatric crisis as this can dangerously interact with their condition or existing medications.",mental_health_emergency
What is the first aid for a rib fracture?,"Support the chest with a pillow or folded cloth, encourage shallow breathing, give pain relief if available and not contraindicated, and take the person to AIIMS casualty for imaging.",basic_first_aid
What is the KIRAN mental health helpline and what makes it unique?,"KIRAN at 1800-599-0019 is a free government mental health helpline available around the clock in thirteen regional languages, making it accessible to callers across all states of India.",mental_health_emergency
How do I control serious bleeding from a wound?,"Apply firm direct pressure using a clean cloth, elevate the injured limb above heart level if possible, maintain pressure for at least ten minutes, and call 112 if bleeding is severe.",basic_first_aid
What number do I call for an emergency blood donation in Delhi?,The AIIMS blood bank at 011-26588663 coordinates emergency blood needs and can direct callers to voluntary donor networks in Delhi.,calling_emergency
What is the best way to store emergency contact numbers for AIIMS?,"Save key numbers including AIIMS main 011-26588500, casualty 011-26589142, trauma 011-26741471, blood bank 011-26588663, and national lines 112 and 108 in your mobile and on a printed card at home.",disaster_evacuation
What is the railway emergency medical helpline number in India?,"138 is the Indian Railways medical emergency helpline and 182 is the railway security helpline for accidents, assaults, and emergencies on trains.",calling_emergency
What should I do if a choking infant cannot cry or breathe?,"Hold the infant face-down on your forearm, give five back blows between the shoulder blades, then five chest thrusts with two fingers on the breastbone, and check the mouth between cycles.",basic_first_aid
How do I treat a puncture wound?,"Do not remove deeply embedded objects, control surrounding bleeding with gentle pressure, cover the wound without pressing on the object, and go to AIIMS casualty for tetanus assessment.",basic_first_aid
What is the AIIMS neonatal emergency number for newborn emergencies?,Neonatal emergencies at AIIMS are handled by the neonatology unit accessible through the hospital operator at 011-26588500 or the main casualty at 011-26589142.,calling_emergency
How should food and water safety be managed after a Delhi flood?,"Boil drinking water, avoid floodwater-contaminated food, use oral rehydration salts for diarrhoeal illness, and go to AIIMS casualty if you develop fever, jaundice, or severe vomiting.",disaster_evacuation
What basic first aid items should be kept at home in India?,"A home first aid kit should include sterile gauze, adhesive bandages, antiseptic solution, paracetamol, ORS sachets, scissors, tweezers, a thermometer, disposable gloves, and emergency contact numbers.",basic_first_aid
What should I do if I see a live electrical wire on a flooded road?,"Do not touch or approach the wire, keep others away, call 112 and BSES Delhi at 19124 for power emergency, and wait for trained electricians to make the area safe.",disaster_evacuation
How do I treat a severe nosebleed?,"Pinch the soft part of the nose firmly, lean forward slightly, breathe through the mouth, maintain pressure for ten to fifteen minutes, and seek medical help if bleeding does not stop.",basic_first_aid
How does the NDMA coordinate emergency response during a major disaster in Delhi?,"NDMA activates state and district disaster management authorities, deploys NDRF teams, and coordinates with hospitals including AIIMS through the emergency operations centre reachable at 1078.",disaster_evacuation
How does AIIMS handle a patient brought in after a suicide attempt?,"The patient is first stabilised medically in the casualty, then assessed by the psychiatric liaison team, and admitted to the psychiatry unit if ongoing risk is identified.",mental_health_emergency
What preparedness training does AIIMS conduct for disaster scenarios?,"AIIMS regularly conducts fire evacuation drills, mass casualty simulation exercises, and CPR training for clinical and non-clinical staff as part of its hospital disaster management plan.",disaster_evacuation
How should I respond to a flood warning in Delhi?,"Move to higher ground, avoid walking through floodwater, do not drive through flooded roads, call 1078 for NDMA guidance, and contact AIIMS if medical help is needed after evacuation.",disaster_evacuation
How do I manage someone having a dissociative identity episode?,"Speak calmly using the person's known name, do not force them to acknowledge other identities, remove hazards, and contact AIIMS psychiatry through 011-26588500 if the episode is prolonged.",mental_health_emergency
How do I treat a broken bone before emergency services arrive?,"Keep the injured area still, support it in the position found, apply ice wrapped in cloth for twenty minutes, do not try to straighten it, and call 108 for transport.",basic_first_aid
What is the mental health support available for HIV-positive patients at AIIMS?,AIIMS ART centre provides integrated psychological counselling for HIV-positive patients and can be reached through the hospital operator at 011-26588500 or via the infectious diseases department.,mental_health_emergency
What should I do if I am injured in an earthquake inside AIIMS?,"Stay still until shaking stops, call for help from nearby staff, use the internal emergency line 011-26589142, and wait for rescue if trapped rather than trying to move through unstable rubble.",disaster_evacuation
What is the golden hour in trauma care and why does it matter?,The golden hour refers to the first sixty minutes after major trauma when rapid treatment significantly improves survival; getting a trauma patient to AIIMS JPNATC quickly is critical.,basic_first_aid
What is the recovery position and when should I use it?,"Roll an unconscious but breathing person onto their side with the top knee forward for support and tilt the head back to keep the airway open, preventing choking on vomit.",basic_first_aid
How do I treat a jellyfish sting in a freshwater body in India?,"Rinse the area with seawater or saline, do not rub, remove tentacles carefully with tweezers or a card, apply hot water if available, and seek medical advice for severe reactions.",basic_first_aid
How do I treat a snake bite before reaching hospital?,"Keep the person still and calm, immobilise the bitten limb below heart level, remove tight clothing and jewellery near the bite, do not cut or suck the wound, and call 108 immediately.",basic_first_aid
What are the signs of a bipolar manic episode requiring emergency care?,"Emergency care is needed when mania leads to dangerous behaviour, reckless spending, aggression, refusal to sleep for several days, or grandiose plans that put the person at risk.",mental_health_emergency
How do I safely manage a person having a psychotic episode?,"Stay calm, speak slowly and clearly, do not argue with their beliefs, remove dangerous objects from the environment, and call 112 or take them to AIIMS psychiatry via casualty.",mental_health_emergency
How do I treat a suspected spinal injury?,"Do not move the person unless there is immediate danger, support the head and neck in the position found, call 112 immediately, and keep them calm until trained help arrives.",basic_first_aid
What first aid should be given after a deliberate self-harm episode involving cutting?,"Apply firm pressure with a clean cloth to control bleeding, call 108 if wounds are deep, take the person to AIIMS casualty at 011-26589142, and remain calm and non-judgemental throughout.",mental_health_emergency
What is the Snehi helpline number and what kind of support does it provide?,"Snehi is reachable at 044-24640050 and provides emotional support through trained volunteers for individuals experiencing loneliness, grief, depression, and suicidal thoughts.",mental_health_emergency
What is the first aid for a scorpion sting?,"Keep the person calm and still, immobilise the stung limb, apply a cold pack, do not cut or suck the wound, and go to AIIMS casualty at 011-26589142 immediately for antivenom assessment.",basic_first_aid
What should I do if someone is severely intoxicated and behaving dangerously?,"Call 112 for police and medical assistance, do not leave the person alone, keep them away from roads and heights, and bring them to AIIMS casualty if they lose consciousness.",mental_health_emergency
What should I do if a patient at AIIMS is missing or not found in their ward?,"Report immediately to the ward nursing station, AIIMS security at 011-26588500, and file a missing person report with Delhi Police at 100 if the patient cannot be located on campus.",calling_emergency
What should I do if a patient is on a ventilator during a fire evacuation?,The clinical team will manage ventilated patients using manual bag-valve-mask ventilation during evacuation and will not disconnect life support without a clinical plan in place.,disaster_evacuation
What is the de-addiction helpline in India?,The national de-addiction helpline is 14446 and is operated by the Ministry of Social Justice for guidance on alcohol and drug abuse crises and treatment referrals.,mental_health_emergency
What is Delhi's BSES emergency number for power-related hazards?,"BSES Yamuna operates at 19122 and BSES Rajdhani at 19124 for electrical hazards, power outages, and live wire emergencies in Delhi.",disaster_evacuation
How do I treat an unconscious pregnant woman before an ambulance arrives?,"Place her on her left side to prevent the uterus compressing the major blood vessels, open the airway, call 108 and AIIMS maternity casualty, and begin CPR if she is not breathing.",basic_first_aid
What is a crisis safety plan and how is one made?,"A crisis safety plan is a written personal guide listing warning signs, coping strategies, trusted contacts, and emergency numbers; AIIMS psychiatry counsellors can help patients create one.",mental_health_emergency
What should I do if I discover a fire in a hospital oxygen store room?,"Evacuate immediately, do not try to extinguish it as oxygen dramatically accelerates fire, call 101 and AIIMS security at 011-26588500, and alert clinical staff to prepare patients for relocation.",disaster_evacuation
What should I do if a patient with known schizophrenia suddenly stops their medication?,"Contact their treating psychiatrist at AIIMS immediately, monitor for signs of relapse, call KIRAN at 1800-599-0019 for guidance, and bring them to AIIMS psychiatry casualty if they become a danger to themselves.",mental_health_emergency
What is the correct rate for chest compressions during CPR?,"Chest compressions should be given at a rate of one hundred to one hundred and twenty per minute, roughly in time with the song Stayin Alive by the Bee Gees.",basic_first_aid
What does RACE stand for in hospital fire safety?,"RACE stands for Rescue anyone in immediate danger, Activate the fire alarm, Contain the fire by closing doors, and Extinguish only if the fire is small and you are trained to do so.",disaster_evacuation
What is the mental health support available at AIIMS for cancer patients?,AIIMS has a psycho-oncology service within the oncology department that provides counselling and psychiatric support to cancer patients and their families during treatment.,mental_health_emergency
How do I recognise and respond to a diabetic ketoacidosis emergency?,"Signs include fruity breath, deep rapid breathing, severe abdominal pain, and confusion; call 108 immediately as DKA requires urgent intravenous fluids and insulin at AIIMS casualty.",basic_first_aid
What is the AIIMS spinal injury emergency contact?,Spinal injuries must not be moved without support and should be brought to the JPNATC Trauma Centre at 011-26741471 which has a dedicated spinal injury unit.,calling_emergency
How do I shut off oxygen supply during a hospital fire?,Only trained staff should shut off oxygen valves which are located in fire zone panels; shutting oxygen is a clinical decision coordinated with medical staff to protect patients on oxygen.,disaster_evacuation
What is the first aid for a suspected drug overdose?,"Call 112, place the person in the recovery position if unconscious and breathing, do not give stimulants or try to make them vomit, and bring all medications found to AIIMS casualty.",basic_first_aid
What should I do if a colleague at AIIMS shows signs of burnout or breakdown?,"Speak to them privately, encourage them to contact the AIIMS employee health unit or call iCall at 9152987821, and escalate to the department head if immediate safety is a concern.",mental_health_emergency
What is the Delhi COVID or respiratory disease emergency helpline?,The Delhi health department helpline is 011-22307145 and the national health helpline is 104 for respiratory illness guidance and referral.,calling_emergency
Is there anonymous psychiatric counselling available in Delhi?,"KIRAN at 1800-599-0019 and iCall at 9152987821 provide confidential support without requiring the caller to give their name, making them accessible for those seeking anonymous help.",mental_health_emergency
How are dialysis patients evacuated safely during a hospital emergency at AIIMS?,Dialysis patients require planned disconnection by trained renal nurses before evacuation and the dialysis unit has an emergency protocol for safe line disconnection during urgent evacuations.,disaster_evacuation
What is the senior citizen helpline number in India?,"14567 is the Elderline national helpline for senior citizens in India providing support for abuse, health emergencies, and social welfare queries.",calling_emergency
How do I assist a person with a visual or hearing impairment during an emergency evacuation?,"Speak clearly and calmly, identify yourself, take the person's arm to guide them, describe each step, and stay with them until they reach the safe assembly area.",basic_first_aid
How do I recognise alcohol withdrawal as a medical emergency?,"Signs include tremors, sweating, confusion, hallucinations, and seizures in a person who has recently stopped heavy drinking; this is life-threatening and requires emergency care at AIIMS casualty.",mental_health_emergency
Is there a helpline for reporting medical negligence at AIIMS?,Concerns about patient care at AIIMS can be reported to the Medical Superintendent's office at 011-26588700 or through the hospital's patient grievance system.,calling_emergency
What should I do if I encounter a road accident victim with fuel leaking from the vehicle?,"Do not use phones or lighters near the vehicle, switch off the engine if safe to do so from a distance, call 101 and 112, keep the victim still, and move people upwind of the fuel spill.",disaster_evacuation
What is the mental health support available for families of ICU patients at AIIMS?,AIIMS psychiatric social workers and counsellors provide support to distressed families of critically ill patients and can be contacted through the ICU nursing station or operator.,mental_health_emergency
Where are the AEDs located at AIIMS New Delhi campus?,"AEDs are located in the AIIMS casualty, trauma centre, OPD buildings, and major corridors; security staff and nursing stations can direct you to the nearest unit quickly.",basic_first_aid
What are the signs of anaphylaxis?,"Anaphylaxis signs include sudden throat swelling, difficulty breathing, rash, rapid heartbeat, dizziness, and collapse; it is life-threatening and requires immediate injection of adrenaline and calling 112.",basic_first_aid
How do I use a fire extinguisher safely?,"Use the PASS technique: Pull the pin, Aim at the base of the fire, Squeeze the handle, and Sweep side to side; only use an extinguisher on a small contained fire and never block your exit route.",disaster_evacuation
What is the first aid for a penetrating chest wound?,"Seal the wound with a gloved hand or clean folded cloth, do not remove any embedded object, keep the person sitting upright or slightly tilted to the injured side, call 108 immediately.",basic_first_aid
How do I treat a blister caused by a burn?,"Do not burst the blister as it protects against infection, cover loosely with a clean non-fluffy dressing, go to AIIMS casualty if it is larger than a coin or appears infected.",basic_first_aid
How do I treat a minor burn at home?,"Cool the burn under cool running water for at least twenty minutes, do not apply ice, butter, or toothpaste, cover loosely with cling film, and seek help if the burn is larger than the palm.",basic_first_aid
What is the first aid for a chemical splash into the eye?,"Immediately flush the eye with large amounts of clean water for at least twenty minutes, remove contact lenses if possible, and go to AIIMS eye casualty at 011-26589142 without delay.",basic_first_aid
What should I do if a patient escapes the hospital premises in a confused state?,"Alert AIIMS security immediately through 011-26588500, call 100 for police assistance, provide a description of the patient, and notify the treating clinical team urgently.",disaster_evacuation
How does AIIMS manage mass casualty incidents?,"AIIMS activates its Mass Casualty Incident protocol which establishes a triage zone at the entrance, deploys all available clinical staff, and coordinates with Delhi government for additional resources.",disaster_evacuation
What precautions should I take before bringing a patient with possible influenza to AIIMS?,Call AIIMS casualty at 011-26589142 before arrival to alert them of respiratory illness symptoms so isolation measures can be prepared at the entrance to protect other patients.,calling_emergency
How do I treat a suspected head injury?,"Keep the person still and awake if possible, do not remove any helmet if worn, apply gentle pressure for bleeding, call 108 if they lose consciousness, vomit, or have a seizure.",basic_first_aid
Is 112 available without a SIM card in India?,"Yes, 112 can be dialled from any mobile phone even without a SIM card, active network subscription, or call credit in India.",calling_emergency
What should I do if there is a gas leak in the hospital or home?,"Do not turn any switches on or off, extinguish flames, open windows, evacuate the building immediately, call 101 from outside the building, and do not re-enter until cleared.",disaster_evacuation
What is the correct way to transport an injured person to AIIMS?,"Use an ambulance by calling 108 whenever possible; if self-transporting, keep the person as still as possible, support the head and neck for suspected spine injuries, and alert AIIMS casualty in advance at 011-26589142.",basic_first_aid
How are transgender individuals in mental health distress supported at AIIMS?,AIIMS provides gender-sensitive care through its psychiatry department and the AIIMS Centre of Excellence for Transgender has trained counsellors accessible through the operator at 011-26588500.,mental_health_emergency
What should I do if someone inhales smoke or fumes?,"Move the person to fresh air immediately, loosen tight clothing, call 108, and begin CPR if they are not breathing; do not re-enter a smoke-filled area yourself.",basic_first_aid
What should I do if 108 ambulance takes too long in a critical situation?,"If the 108 ambulance is delayed in a critical situation, bring the patient to the nearest hospital by any available transport and call ahead to alert the casualty team.",calling_emergency
What should I do if a fire breaks out in the AIIMS hospital building?,"Activate the nearest fire alarm, call 101 for fire services and 011-26588500 for AIIMS security, evacuate immediately using stairways not lifts, and move to the designated muster point.",disaster_evacuation
How is post-traumatic stress disorder different from an acute stress reaction?,An acute stress reaction occurs within days of trauma and resolves within weeks while PTSD persists for months or years and requires structured treatment at services like AIIMS psychiatry.,mental_health_emergency
What is the AIIMS operator number for reaching any department urgently?,"The AIIMS central operator can be reached at 011-26588500 and can connect callers to any department including emergency, ICU, and blood bank.",calling_emergency
What is the AIIMS disaster triage colour code system?,"AIIMS uses international triage colour codes: red for immediate life-threatening, yellow for urgent but can wait, green for minor injuries, and black for deceased or unsurvivable injuries.",disaster_evacuation
What should I do if a family member refuses psychiatric help during a crisis?,"Call iCall 9152987821 for guidance, contact AIIMS psychiatry through 011-26588500, or if there is immediate danger call 112 for police-assisted mental health intervention.",mental_health_emergency
What is the AIIMS ophthalmology emergency contact for eye injuries?,Eye emergencies at AIIMS should be reported to the casualty ward at 011-26589142 and the ophthalmology department can be reached through the operator at 011-26588500.,calling_emergency
What are warning signs of a severe head injury?,"Warning signs include loss of consciousness, repeated vomiting, seizure, confusion, severe headache, unequal pupils, or clear fluid from the nose or ears; call 112 immediately.",basic_first_aid
What are the first steps to take in any medical emergency?,"Check for danger to yourself first, then check if the person is responsive, call 112 or 108 immediately, and begin basic first aid while waiting for help to arrive.",basic_first_aid
What is the first step in managing a suspected brain bleed at AIIMS?,A patient with suspected intracranial bleeding is taken to AIIMS casualty where a CT scan is arranged immediately and the neurosurgery on-call team is alerted for urgent review at 011-26741471.,calling_emergency
What decontamination facilities does AIIMS have for chemical or biological emergencies?,AIIMS has decontamination protocols for hazardous exposures with dedicated shower and treatment areas at the casualty entrance coordinated by infection control and emergency medicine teams.,disaster_evacuation
What support is available for mental health emergencies at AIIMS New Delhi?,"AIIMS has an inpatient and outpatient psychiatry unit, a twenty-four-hour casualty that handles psychiatric emergencies, and a de-addiction centre for substance-related crises.",mental_health_emergency
What should I do if a child has ingested a medication overdose?,"Call AIIMS Poison Centre 011-26589391 immediately, note the medication name, dose, and time ingested, do not induce vomiting, and go to AIIMS casualty without delay.",basic_first_aid
What should I do if I suspect a stroke while near AIIMS?,"Call 108 or 112 immediately, note the time symptoms started, and if near AIIMS go directly to the casualty at Gate 4 off Ansari Nagar for urgent neurological assessment.",calling_emergency
What should AIIMS staff do to prepare their ward for a cyclone warning?,"Secure loose equipment and furniture, fill water reserves, check emergency lighting, brief patients on evacuation routes, and monitor Delhi government updates for wind and flooding advisories.",disaster_evacuation
What is the first aid for a patient who has swallowed bleach or caustic soda?,"Do not induce vomiting as this causes a second burn on the way up, give small sips of water or milk only if the person is fully conscious, call AIIMS Poison Centre 011-26589391 and 108 immediately.",basic_first_aid
What is the National Poison Control Programme helpline in India?,The AIIMS Poison Information Centre at 011-26589391 is the primary resource and coordinates with the national poison control network for advice on toxic exposures across India.,disaster_evacuation
How do I treat a puncture wound to the foot from a nail or sharp object?,"Do not remove the object if deeply embedded, control bleeding, clean the surrounding skin, cover loosely, and go to AIIMS casualty for wound assessment and tetanus prophylaxis.",basic_first_aid
Can I send an SMS to emergency services in India if I cannot speak?,"You can send an SMS to 112 in India if you are unable to speak, and the message should include your location and a brief description of the emergency.",calling_emergency
What is the Fortis Stress Helpline number and how can it help?,"The Fortis Stress Helpline operates at 8376804102 and provides immediate telephone-based psychological support for stress, anxiety, and crisis situations.",mental_health_emergency
What is the Delhi civil defence emergency contact?,"Delhi Civil Defence can be reached through the Delhi government emergency number 011-23739300 for large-scale civil emergencies including war, floods, and industrial disasters.",disaster_evacuation
What are the signs of a stroke?,"Use the FAST test: Face drooping on one side, Arm weakness when raised, Speech slurred or confused, Time to call 112 immediately; do not give food or water.",basic_first_aid
What is the AIIMS psychiatry emergency contact?,Psychiatric emergencies at AIIMS are managed through the Department of Psychiatry reachable via the main casualty at 011-26589142 or the operator at 011-26588500.,mental_health_emergency
What first aid should I give someone having a heart attack?,"Call 112 immediately, ask the person to sit or lie in a comfortable position, loosen tight clothing, give one 325mg aspirin if available and the person is not allergic, and stay with them.",basic_first_aid
What is the AIIMS dermatology emergency number for severe skin reactions?,Severe skin reactions such as Stevens-Johnson syndrome should be taken directly to the AIIMS casualty at 011-26589142 for emergency triage.,calling_emergency
What is a mental health first aid approach?,"Mental health first aid involves listening without judgement, assessing risk, providing reassurance, encouraging professional help, and following up after the immediate crisis.",mental_health_emergency
What is the coast guard emergency number applicable in India?,"156 is the Indian Coast Guard emergency number for maritime distress, though for inland medical emergencies in Delhi the relevant numbers remain 112 and 108.",calling_emergency
What is the road transport emergency helpline in Delhi?,"1073 is the national highway accident relief helpline and 112 covers all road emergencies in Delhi for police, ambulance, and fire response.",calling_emergency
What is the AIIMS haematology blood cancer emergency?,Blood cancer emergencies including febrile neutropenia should be brought to AIIMS casualty at 011-26589142 immediately as infection in immunocompromised patients can be life-threatening.,calling_emergency
What is the Delhi Police helpline for emergencies?,"100 is the Delhi Police emergency helpline and calls are free and available around the clock for any crime, accident, or security emergency in Delhi.",disaster_evacuation
What should I do if there is an active shooter or security threat at AIIMS?,"Activate the run-hide-fight protocol: escape the area if safe, hide and silence your phone if you cannot escape, call 100 when safe, and only confront as a last resort to protect life.",disaster_evacuation
