question,answer,topic
Can I request an appointment reminder call rather than a letter or text?,Communication preferences including reminder calls can be noted in your patient record and you should inform the reception team of your preference.,practicalities
Can I ask for a written summary of what was discussed during my consultation?,A written summary or consultation letter can be requested and is routinely produced to inform the GP and other treating clinicians.,consultation
Is there a waiting period before I can rebook after a cancellation?,"There is usually no mandatory waiting period, though availability will depend on the current appointment schedule for the relevant clinic.",cancellation
Do I need to fast before my appointment?,Fasting requirements depend on the type of examination or procedure and the clinic will specify any dietary instructions in the appointment letter.,practicalities
What is a pre-consultation questionnaire and why might I receive one?,"Some clinics send a questionnaire before your appointment to gather information about symptoms and history, helping the doctor prepare and use consultation time efficiently.",consultation
What happens to my appointment if the doctor is unexpectedly unavailable?,The hospital will contact you to reschedule and will aim to offer an alternative date with the same or an equivalent doctor.,booking
Will the hospital rebook automatically if my appointment is cancelled by them?,"Yes, the hospital is responsible for offering a replacement appointment promptly when it initiates a cancellation.",cancellation
Can a carer book an appointment on behalf of a patient with dementia?,A legal carer or person with power of attorney may book and manage appointments on behalf of a patient who lacks capacity to do so independently.,booking
What happens after the hospital receives my referral?,The referral is triaged by clinical staff who determine urgency and allocate the patient to the appropriate department and waiting list.,referral
Can I cancel a referral if I decide I do not want to proceed?,Patients can request cancellation of a referral at any time by contacting either the GP surgery or the hospital booking team.,referral
Can I find out about a doctor's qualifications before my appointment?,Consultant profiles including qualifications and areas of expertise are usually published on the hospital website.,doctor_info
Can I request a specific date when rescheduling?,You may state a preferred date or time range when rescheduling and the booking team will try to accommodate this subject to availability.,cancellation
How do referrals work for patients with rare or complex conditions?,Complex referrals may be sent to specialist centres with expertise in rare conditions and the GP will liaise with the hospital to identify the most appropriate service.,referral
What is a two-week wait referral?,"A two-week wait referral is an urgent pathway used when a GP has concerns about possible cancer, requiring the hospital to offer an appointment within fourteen days.",referral
How does the hospital fill cancelled appointment slots quickly?,"Staff contact patients on the cancellation waiting list to offer freed slots, and automated systems may send text notifications to eligible patients.",cancellation
Can I opt out of receiving certain types of results directly?,"Patients may state their preferences regarding how and whether results are communicated to them directly, and this will be noted in the clinical record.",results
How do I cancel a series of repeat appointments all at once?,Contact the scheduling team and they can cancel the entire series and advise on how to rebook when you are ready to resume.,cancellation
How does the hospital ensure doctors from overseas meet UK clinical standards?,"International medical graduates must obtain GMC registration, which requires passing specified examinations and demonstrating English language proficiency and clinical competence.",doctor_info
Can I request a referral to a hospital abroad for specialist treatment?,International referrals involve additional processes and funding approval and should be discussed with your GP and the relevant healthcare authority.,referral
Can I ask my GP to change the referral to a different hospital?,"Yes, you may request an alternative hospital and your GP can send the referral to a different provider if you have a preference.",referral
What is a patient safety alert and how does it relate to doctor conduct?,"A patient safety alert is issued when a risk to patient care is identified, and doctors are required to review and act on these alerts to maintain safe practice.",doctor_info
Is there a hospital café near the outpatient department?,Café is located near outpatient areas and reception staff can direct you to the nearest one.,practicalities
How does the hospital handle results that require lifestyle changes from the patient?,"The clinical team will discuss the results and provide advice on lifestyle changes, and may refer the patient to specialist support services such as dietetics or smoking cessation.",results
Can I ask the hospital to send my results to a complementary or alternative health practitioner?,The hospital can send results to any registered healthcare professional with the patient's written consent.,results
Is a referral letter required to book a specialist appointment?,Most specialist appointments require a referral from a general practitioner or another doctor before they can be booked.,booking
How does the hospital ensure I am seen by the most appropriate doctor for my condition?,Referrals and booking requests are reviewed by clinical staff who match the patient's needs to the appropriate specialist or department.,booking
Can I request to see a doctor who has treated a family member successfully?,"You may request a named doctor and the booking team will try to arrange this, though the doctor's availability cannot always be guaranteed.",doctor_info
What does it mean when a doctor is described as dual accredited?,"A dual-accredited doctor holds specialist training in two related disciplines, allowing them to manage a broader range of conditions within their combined expertise.",doctor_info
How long should I plan to be at the hospital for an outpatient appointment?,"Plan for approximately one to two hours including waiting time, the consultation itself, and any follow-up administration such as booking further appointments.",practicalities
Can I book an appointment if my insurance has not yet been authorised?,"Some hospitals allow provisional bookings while authorisation is pending, but this should be clarified with the billing and booking teams in advance.",booking
Can I request a doctor who specialises in treating older patients?,Many hospitals have a geriatric medicine team and you can request a referral to this specialty through your GP.,doctor_info
What should I do if I notice a safety hazard in the outpatient waiting area?,Report any safety concern to reception staff or any visible hospital staff member immediately so it can be addressed promptly.,practicalities
What should I do if I booked the wrong type of appointment?,Contact the booking team as soon as possible to correct the appointment type so that the right clinical resource is allocated for your visit.,booking
Can a community nurse or midwife make a hospital referral?,Community healthcare professionals including nurses and midwives may make referrals within their scope of practice and local referral protocols.,referral
Is there a dedicated booking line for specific departments such as cardiology?,Many large departments have dedicated booking lines and the contact number is usually listed on the hospital website or appointment letter.,booking
Can I attend my consultation without a referral if I am a returning patient?,"Returning patients who have previously been seen in the department may be able to self-refer for a follow-up, depending on the department's policy.",consultation
Can I attend my appointment if I have an infectious illness?,"If you have symptoms of an infectious illness, contact the clinic before attending so they can advise whether to postpone and take appropriate precautions if you must attend.",practicalities
What happens if I have been waiting much longer than expected?,"Speak to the reception desk who can check your status, explain any delay, and confirm when you are likely to be called.",practicalities
Can I book an appointment if I am visiting from abroad?,"International patients may book appointments though additional requirements such as insurance verification or prepayment may apply, and the international office can assist.",booking
Can I bring someone to my results appointment?,Patients are welcome to bring a support person to a results appointment particularly when significant news may be discussed.,results
Will the doctor prescribe medication during my first consultation?,"A prescription may be issued during the first consultation if a clear diagnosis is made, though in some cases further tests are needed first.",consultation
What does it mean if my appointment is with a specialist nurse rather than a doctor?,Specialist nurses are advanced practitioners with expertise in specific conditions and are authorised to manage defined aspects of patient care independently.,doctor_info
Can I be referred on the same day as my GP appointment?,GPs can issue same-day urgent referrals and may also submit routine electronic referrals immediately after the consultation.,referral
Can I find out who the lead consultant is for my condition in this hospital?,The relevant clinical department can advise on who leads the specialist team responsible for your condition.,doctor_info
Is it permitted to have a support person accompany me during my outpatient visit?,"Most clinics allow one accompanying person for support, though in some cases such as during intimate examinations staff may ask them to wait outside temporarily.",consultation
Can I find out whether my doctor has won any clinical awards or recognition?,Awards and recognition are often listed in the doctor's professional profile on the hospital website or can be shared by the department if requested.,doctor_info
What should I do if I cannot find a suitable parking space and I am at risk of being late?,"Call the clinic to let them know you are on your way and experiencing a delay, as they can note this and try to fit you in when you arrive.",practicalities
What if I am on a waiting list and receive a referral to a different department for the same condition?,"Inform both departments so they can coordinate and avoid duplication, and the clinical teams will determine the most appropriate pathway for your care.",referral
What should I do if I have difficulty using the online booking system?,Contact the outpatient reception by telephone and staff will book the appointment manually and help resolve any technical issues.,booking
How are paediatric test results communicated to parents?,"Results for children are shared with the parent or legal guardian and, depending on the child's age and understanding, may also be explained directly to the child.",results
What if I forget to mention something important during the consultation?,Contact the clinic by phone or message after the appointment and staff will pass the information to the doctor or arrange a follow-up if needed.,consultation
Can I book an appointment during a public holiday?,"Most elective appointments are not scheduled on public holidays, though emergency services remain available and urgent cases will be managed accordingly.",booking
Can I request to be seen by a consultant rather than a junior doctor?,"Patients may express a preference and the booking team will try to accommodate this, though clinical rotas may not always allow it.",doctor_info
Can I cancel an appointment outside of office hours?,Some hospitals have an out-of-hours answering service or an online portal where cancellations can be submitted at any time.,cancellation
Can I request a specific type of examination or test during my consultation?,"Patients may raise concerns and suggest tests, but the doctor will determine what investigations are clinically indicated based on the assessment.",consultation
What should I do if my appointment reminder contains the wrong information?,Contact the booking team immediately to correct the details and confirm the actual appointment time and location before attending.,practicalities
Can I request that my doctor does not involve trainees in my care?,"Patients may decline involvement of trainees in their care and this preference will be respected, though it may affect appointment availability.",doctor_info
How are electronic and paper referrals handled differently?,Electronic referrals are processed more quickly and tracked in real time while paper referrals are manually entered into the system by administrative staff.,referral
Will I be charged if I cancel an appointment at short notice?,Most hospitals do not charge for cancellations but repeated late cancellations may result in a review of your booking privileges.,cancellation
What support is available for patients who frequently struggle to attend appointments?,"Social workers, patient navigators, or transport services may be arranged to help patients who face recurring barriers to attendance.",cancellation
How does a telephone consultation differ from an in-person one?,"A telephone consultation allows clinical discussion and advice without a physical examination, making it suitable for follow-ups or straightforward concerns.",consultation
Is there a play worker or distraction service available for children attending appointments?,Many paediatric clinics have play specialists or distraction materials to help children feel at ease and the department can confirm what is available.,practicalities
What is the cancellation cut-off time for same-week appointments?,Most departments ask for cancellations by close of business the day before at the latest so the slot can be reallocated within the working week.,cancellation
How will I be notified if the hospital needs to cancel my appointment?,"The hospital will contact you by phone, letter, or SMS depending on your communication preferences as early as possible before the appointment date.",cancellation
Can I book an appointment for someone else such as a family member?,"You may book on behalf of a family member by providing their patient details, though the patient's consent is usually required.",booking
Is there a coat or luggage storage near the outpatient department?,Most outpatient departments do not have formal storage facilities and patients are advised to bring only what is necessary for the appointment.,practicalities
What if I do not have my appointment letter with me on the day?,"Reception staff can locate your appointment using your name and date of birth, so the appointment can still proceed without the physical letter.",practicalities
"What if my appointment letter contains the wrong date, time, or location?","Contact the booking team immediately to confirm the correct details and if you arrive at the wrong location, the main reception will direct you appropriately.",practicalities
Can I bring a printed copy of my medical history to share with the doctor?,"Bringing a written summary of your medical history, current medications, and previous investigations is helpful and can make the consultation more efficient.",practicalities
What should I do if I have not received my results within the expected timeframe?,Contact the clinic or the relevant laboratory department with your appointment reference to follow up on outstanding results.,results
Is there a changing facility for patients who need to change before an examination?,Most outpatient examination rooms have changing facilities and patients are given appropriate gowns or coverings as needed for their assessment.,practicalities
What if I am running a fever on the day of my appointment?,"Contact the clinic before attending and they will advise whether to proceed, reschedule, or attend with precautions in place for your safety and that of other patients.",practicalities
Will the doctor contact me if my results are abnormal?,Clinicians are expected to contact patients promptly if results indicate a clinical concern that requires urgent review or treatment adjustment.,results
Should I take my usual medications on the day of my appointment?,"Continue taking usual medications unless the clinic has specifically advised you to stop them beforehand, and bring your medication list to the appointment.",practicalities
What is a multidisciplinary team consultation and when is it used?,A multidisciplinary team consultation brings together specialists from different fields to discuss complex cases and agree on a coordinated treatment plan.,consultation
Can I bring a support animal that is not a registered assistance dog?,"Only registered assistance animals are permitted in clinical areas, and emotional support animals without registered assistance status may not be allowed.",practicalities
How do I know if my doctor is involved in a clinical trial that might affect my treatment?,You may ask the doctor directly whether any clinical research is relevant to your case and whether participation in a trial is being considered.,doctor_info
Can I choose which doctor I see for my appointment?,"Patients can often request a preferred doctor, though availability cannot always be guaranteed and an alternative may be offered.",booking
What if I receive different advice from two different doctors?,Raise this discrepancy with the clinical team or your GP who can help clarify which recommendation is most appropriate for your specific situation.,consultation
What is the difference between a new patient appointment and a follow-up?,A new patient appointment is for patients seeing a particular doctor or department for the first time while a follow-up is a scheduled review after previous treatment.,booking
Can I ask for a second set of tests if I doubt the accuracy of my results?,Patients may request a repeat test and the doctor will consider whether this is clinically appropriate and arrange it if justified.,results
How do I book an appointment with a female or male doctor specifically?,"You may state a gender preference when booking and staff will accommodate this where possible, though it cannot always be guaranteed.",booking
How do I pay for a private outpatient appointment on the day?,"Private appointment payments can be made at the billing desk or through the hospital's payment system, and accepted methods can be confirmed with the department.",practicalities
Can I speed up a referral if I am willing to travel to another hospital?,"Being flexible about location can sometimes allow access to shorter waiting lists at nearby hospitals, and this should be discussed with your GP.",referral
Can a referral be made for a second opinion on an existing diagnosis?,GPs can issue a referral specifically for a second opinion and the patient can also request this directly during a hospital consultation.,referral
How early should I arrive for my appointment?,Arriving ten to fifteen minutes before your scheduled time allows for check-in and any paperwork that may need to be completed before you are seen.,practicalities
Can results be sent directly to my email?,"Some hospitals allow results or clinic letters to be sent electronically, and this option can be confirmed with the clinic or patient portal team.",results
What is revalidation and how does it affect trust in my doctor?,"Revalidation is a process through which doctors regularly demonstrate to the GMC that they are fit to practise, supporting patient confidence in clinical standards.",doctor_info
How are results from a private test shared with my NHS treating team?,"Patients can bring private test results to their NHS appointment and the treating doctor can review them, though they may not be automatically added to the NHS record.",results
Can a nurse practitioner issue a referral?,"In many healthcare settings advanced nurse practitioners are authorised to issue referrals for appropriate services, depending on local policy.",referral
Can I request to be seated away from other patients in the waiting area?,"Reception staff can try to seat you at a distance from others if you have a clinical, comfort, or anxiety-related reason for the request.",practicalities
Can I request a referral to a specific consultant?,"You can request a named consultant when asking your GP for a referral, though the hospital may allocate an equivalent specialist if the preferred one is unavailable.",referral
Can I book appointments for multiple concerns in a single visit?,"It is best to mention all concerns when booking so the doctor can allocate appropriate time, as standard appointments have a set duration.",booking
Can I see the raw data from my tests such as actual values and reference ranges?,Raw laboratory values and reference ranges are included in the results report and can be provided to the patient upon request.,results
What should I do if I receive conflicting information about my results from different clinicians?,Request a meeting with the lead clinician responsible for your care who can clarify the findings and ensure a consistent treatment approach.,results
Can I specify accessibility requirements such as wheelchair access when booking?,"Yes, accessibility needs should be stated at the time of booking so that the appropriate facilities and support can be arranged.",booking
How does the hospital ensure patient privacy during outpatient consultations?,Consultations are conducted in private rooms and staff are trained to maintain confidentiality and prevent unauthorised access to clinical areas.,consultation
How far in advance does the hospital typically cancel appointments it cannot honour?,"Hospitals aim to give as much notice as possible, ideally several weeks, though last-minute cancellations can occur due to unexpected clinical emergencies.",cancellation
What language support is available during my consultation?,Interpreter services can be arranged in advance and some departments have bilingual staff available for patients who need language assistance.,consultation
What should I do if I cannot read the appointment forms provided?,Ask reception staff for assistance and they can read and explain the forms to you or arrange for an appropriate support person to help.,practicalities
What if my condition changes significantly after a referral is made?,Inform your GP who can update the referral or contact the hospital to flag the change in clinical status so that urgency can be reassessed.,referral
